metric,fold,Model,sdr_orig,mean,std,Duration,Metric
cycles,fold_4,Dynamic,6.000000,292002.000000,20149.329917,4.000000,cycles
cycles,fold_4,Dynamic,8.000000,300189.650000,19674.186894,4.000000,cycles
cycles,fold_4,ML1,2.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_4,ML1,4.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_4,ML1,6.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_4,ML1,8.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_4,ML2,2.000000,153219.400000,16628.492350,4.000000,cycles
cycles,fold_4,ML2,4.000000,175552.900000,17638.228957,4.000000,cycles
cycles,fold_4,ML2,6.000000,185514.450000,17359.784890,4.000000,cycles
cycles,fold_4,ML2,8.000000,190448.750000,17219.535986,4.000000,cycles
delta_sdr,fold_4,Baseline,2.000000,6.357577,1.323745,4.000000,delta_sdr
delta_sdr,fold_4,Baseline,4.000000,7.541558,1.627531,4.000000,delta_sdr
delta_sdr,fold_4,Baseline,6.000000,7.964283,1.899729,4.000000,delta_sdr
delta_sdr,fold_4,Baseline,8.000000,8.547749,2.537330,4.000000,delta_sdr
delta_sdr,fold_4,Dynamic,2.000000,6.263438,1.318792,4.000000,delta_sdr
delta_sdr,fold_4,Dynamic,4.000000,7.580236,1.576064,4.000000,delta_sdr
delta_sdr,fold_4,Dynamic,6.000000,8.022611,1.801266,4.000000,delta_sdr
delta_sdr,fold_4,Dynamic,8.000000,8.500141,2.421935,4.000000,delta_sdr
delta_sdr,fold_4,ML1,2.000000,5.315652,1.195731,4.000000,delta_sdr
delta_sdr,fold_4,ML1,4.000000,5.898656,1.274073,4.000000,delta_sdr
delta_sdr,fold_4,ML1,6.000000,5.886541,1.261453,4.000000,delta_sdr
delta_sdr,fold_4,ML1,8.000000,5.663972,1.136961,4.000000,delta_sdr
delta_sdr,fold_4,ML2,2.000000,6.467408,1.405699,4.000000,delta_sdr
delta_sdr,fold_4,ML2,4.000000,7.923367,1.651498,4.000000,delta_sdr
delta_sdr,fold_4,ML2,6.000000,8.401141,1.575185,4.000000,delta_sdr
delta_sdr,fold_4,ML2,8.000000,8.800388,2.064444,4.000000,delta_sdr
processing_time,fold_4,Baseline,2.000000,78.556398,7.686990,4.000000,processing_time
processing_time,fold_4,Baseline,4.000000,89.410679,7.937731,4.000000,processing_time
processing_time,fold_4,Baseline,6.000000,94.509300,7.522397,4.000000,processing_time
processing_time,fold_4,Baseline,8.000000,100.767601,8.139554,4.000000,processing_time
processing_time,fold_4,Dynamic,2.000000,66.188849,6.029280,4.000000,processing_time
processing_time,fold_4,Dynamic,4.000000,74.509329,6.067747,4.000000,processing_time
processing_time,fold_4,Dynamic,6.000000,77.764841,5.708664,4.000000,processing_time
processing_time,fold_4,Dynamic,8.000000,83.706913,5.754486,4.000000,processing_time
processing_time,fold_4,ML1,2.000000,1.819260,0.071341,4.000000,processing_time
processing_time,fold_4,ML1,4.000000,1.801821,0.003283,4.000000,processing_time
processing_time,fold_4,ML1,6.000000,1.801151,0.003520,4.000000,processing_time
processing_time,fold_4,ML1,8.000000,1.801252,0.004507,4.000000,processing_time
processing_time,fold_4,ML2,2.000000,43.295381,4.781831,4.000000,processing_time
processing_time,fold_4,ML2,4.000000,49.958834,5.261710,4.000000,processing_time
processing_time,fold_4,ML2,6.000000,53.694556,5.075725,4.000000,processing_time
processing_time,fold_4,ML2,8.000000,54.648038,4.859246,4.000000,processing_time
delta_pesq,fold_5,Baseline,2.000000,0.630496,0.261188,4.000000,delta_pesq
delta_pesq,fold_5,Baseline,4.000000,1.382954,0.455939,4.000000,delta_pesq
delta_pesq,fold_5,Baseline,6.000000,1.830334,0.487296,4.000000,delta_pesq
delta_pesq,fold_5,Baseline,8.000000,2.005900,0.329355,4.000000,delta_pesq
delta_pesq,fold_5,Dynamic,2.000000,0.650341,0.274103,4.000000,delta_pesq
delta_pesq,fold_5,Dynamic,4.000000,1.399464,0.459093,4.000000,delta_pesq
delta_pesq,fold_5,Dynamic,6.000000,1.889946,0.403442,4.000000,delta_pesq
delta_pesq,fold_5,Dynamic,8.000000,2.006768,0.297219,4.000000,delta_pesq
delta_pesq,fold_5,ML1,2.000000,0.542784,0.187539,4.000000,delta_pesq
delta_pesq,fold_5,ML1,4.000000,0.676997,0.193978,4.000000,delta_pesq
delta_pesq,fold_5,ML1,6.000000,0.808990,0.157492,4.000000,delta_pesq
delta_pesq,fold_5,ML1,8.000000,0.829400,0.177802,4.000000,delta_pesq
delta_pesq,fold_5,ML2,2.000000,0.697507,0.214145,4.000000,delta_pesq
delta_pesq,fold_5,ML2,4.000000,1.413798,0.402629,4.000000,delta_pesq
delta_pesq,fold_5,ML2,6.000000,1.905882,0.336134,4.000000,delta_pesq
delta_pesq,fold_5,ML2,8.000000,1.981366,0.365927,4.000000,delta_pesq
cycles,fold_5,Baseline,2.000000,337011.950000,30186.818717,4.000000,cycles
cycles,fold_5,Baseline,4.000000,396261.050000,30359.158291,4.000000,cycles
cycles,fold_5,Baseline,6.000000,425754.700000,30042.742784,4.000000,cycles
cycles,fold_5,Baseline,8.000000,442311.750000,29464.747936,4.000000,cycles
cycles,fold_5,Dynamic,2.000000,235257.750000,19005.700552,4.000000,cycles
cycles,fold_5,Dynamic,4.000000,273750.150000,19120.735733,4.000000,cycles
cycles,fold_5,Dynamic,6.000000,292245.150000,18733.838456,4.000000,cycles
cycles,fold_5,Dynamic,8.000000,302434.500000,18060.748625,4.000000,cycles
cycles,fold_5,ML1,2.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_5,ML1,4.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_5,ML1,6.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_5,ML1,8.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_5,ML2,2.000000,150514.100000,14309.333715,4.000000,cycles
cycles,fold_5,ML2,4.000000,174640.550000,14655.093400,4.000000,cycles
cycles,fold_5,ML2,6.000000,186096.950000,14596.751183,4.000000,cycles
cycles,fold_5,ML2,8.000000,192073.700000,14494.966085,4.000000,cycles
delta_sdr,fold_5,Baseline,2.000000,6.782733,1.476095,4.000000,delta_sdr
delta_sdr,fold_5,Baseline,4.000000,8.067512,1.958924,4.000000,delta_sdr
delta_sdr,fold_5,Baseline,6.000000,8.843430,1.929510,4.000000,delta_sdr
delta_sdr,fold_5,Baseline,8.000000,9.154749,1.601916,4.000000,delta_sdr
delta_sdr,fold_5,Dynamic,2.000000,6.659578,1.454734,4.000000,delta_sdr
delta_sdr,fold_5,Dynamic,4.000000,8.154438,1.937577,4.000000,delta_sdr
delta_sdr,fold_5,Dynamic,6.000000,8.969362,1.944026,4.000000,delta_sdr
delta_sdr,fold_5,Dynamic,8.000000,9.348410,1.672339,4.000000,delta_sdr
delta_sdr,fold_5,ML1,2.000000,5.691309,1.167717,4.000000,delta_sdr
delta_sdr,fold_5,ML1,4.000000,6.219045,1.218940,4.000000,delta_sdr
delta_sdr,fold_5,ML1,6.000000,6.322722,1.287849,4.000000,delta_sdr
